	race	current_location	sex	birthdate	blood_group	ssn	job	name	residence
145	White	(Decimal('39.1878695'), Decimal('-168.053102'))	F	19 Sep 1978	O+	112-15-6639	Set designer	Susan Murphy	"39444 Herman Keys Apt. 584
Davidtown, TX 60275"
146	Indian	(Decimal('-43.533624'), Decimal('-166.493300'))	M	1940-08-04	O-	102-92-7747	Mental health nurse	Joseph Graham	"5023 Lauren Mission
Kennedychester, NE 64695"
147	White	(Decimal('-64.131580'), Decimal('150.687625'))	F	1997-04-19	A-	068-86-4837	Editor, film/video	Jacqueline Myers	"USNS Hubbard
FPO AA 76951"
148	Black	(Decimal('29.2083655'), Decimal('-45.762145'))	M	24 Mar 1933	A+	005-15-3571	Retail merchandiser	Kevin Morris	"PSC 4020, Box 3001
APO AA 75460"
149	Indian	(Decimal('-41.0147495'), Decimal('-55.781451'))	F	1994-05-11	A-	644-42-5297	Manufacturing engineer	Christine Taylor	"2691 Eric Bypass Suite 953
Underwoodview, OR 91330"
150	Black	(Decimal('17.6559705'), Decimal('70.316951'))	M	30 Dec 2020	O+	120-89-3399	Conservator, furniture	Christopher Brown	"9438 Steven Lane Apt. 093
West Brittanyville, OR 59176"
151	Indian	(Decimal('-7.5778885'), Decimal('9.222354'))	F	1951-01-29	O-	308-64-2862	Technical sales engineer	Carly Waters	"7057 Scott Run
Port Elizabethshire, WI 17746"
152	White	(Decimal('80.4114265'), Decimal('-114.786852'))	F	22 Mar 1994	O-	731-43-9494	Public affairs consultant	Karen Brown	"11826 Michael Avenue Apt. 395
New Leahview, CT 90195"
153	White	(Decimal('6.105404'), Decimal('148.790627'))	F	1952-10-03	AB-	091-63-8168	Physiotherapist	Michaela Owen	"98577 Sparks Port
Port Kristiton, DC 81490"
154	White	(Decimal('-3.393259'), Decimal('109.942886'))	M	08/19/1964, 00:00:00	AB+	106-91-5942	Social research officer, government	Brad Kaiser	"51119 Carlos Field
Robinmouth, PA 19273"
155	White	(Decimal('43.6630465'), Decimal('-127.229916'))	F	02/10/1962, 00:00:00	A-	441-87-8662	Nature conservation officer	Wendy Miller	"56447 Rebecca Mountains Suite 845
Woodardstad, NC 34631"
156	White	(Decimal('4.991020'), Decimal('179.760162'))	F	29 Oct 1981	A+	289-26-1922	Archivist	Angela Williams	"0153 Leach Summit Suite 381
North Cynthiafurt, IN 46728"
157	White	(Decimal('-1.174227'), Decimal('75.914265'))	M	06/26/1960, 00:00:00	O-	168-16-5326	Geophysicist/field seismologist	Tyler Lewis	"57606 Janice Crossroad Suite 656
Gibbsland, SD 96520"
158	Black	(Decimal('-33.317676'), Decimal('117.284257'))	F	04/02/1929, 00:00:00	O-	211-58-5824	Politician's assistant	Melissa Atkinson	"546 Conrad Ports
East Christopherland, MT 27975"
159	White	(Decimal('-56.0836925'), Decimal('47.359494'))	F	07/05/1974, 00:00:00	B-	657-15-8990	Advertising account executive	Jamie Quinn MD	"66303 Campbell Lake Suite 007
Lake Scottborough, MT 24967"
160	Black	(Decimal('-6.007889'), Decimal('-9.678956'))	F	01/30/1992, 00:00:00	O+	319-98-5928	Psychologist, sport and exercise	Stephanie Williams	"9607 Watson Dam Apt. 247
Maryland, OH 88659"
161	Indian	(Decimal('-11.491842'), Decimal('97.384508'))	F	07 Sep 1967	AB-	646-11-8403	Medical laboratory scientific officer	Jennifer Lewis DVM	"1603 Bethany Highway Apt. 152
Dawntown, RI 49791"
162	White	(Decimal('53.587898'), Decimal('-150.464172'))	M	2011-05-23	B+	013-88-7814	Psychologist, prison and probation services	Brian Perry	"Unit 8199 Box 6620
DPO AE 19282"
163	Asian	(Decimal('56.655592'), Decimal('-41.495426'))	M	24 Aug 1934	AB-	563-48-8445	Production manager	Richard Williams	"USNS Martinez
FPO AP 72536"
164	Asian	(Decimal('-40.3126085'), Decimal('52.376925'))	F	1915-11-26	AB-	050-89-5789	Dispensing optician	Joyce Rogers	"14019 Bell Hollow
Jenniferhaven, MI 81646"
165	blsck	(Decimal('8.4633595'), Decimal('-161.187504'))	F	07/22/2018, 00:00:00	AB+	612-17-2649	Medical illustrator	Eileen Reyes	"0513 Rodgers Burg Suite 301
Heathermouth, MT 50861"
166	Black	(Decimal('-79.7117195'), Decimal('-114.223927'))	F	2000-03-25	A+	743-03-5719	Corporate treasurer	Samantha Jones	"836 Garcia Summit Apt. 829
Lake Timothytown, KS 72890"
167	White	(Decimal('-84.8657635'), Decimal('30.804552'))	M	03/20/1971, 00:00:00	B-	714-50-1482	Designer, furniture	Jeffery Williams	"2251 Mcdaniel Dam Apt. 967
Chaseside, ND 29290"
168	White	(Decimal('16.5190975'), Decimal('-68.286055'))	M	1942/11/18	O-	147-16-8997	Psychiatrist	Michael Leblanc	"3877 Castaneda Stream
Martinmouth, GA 21040"
169	Black	(Decimal('32.0936715'), Decimal('57.938525'))	M	08/06/1971, 00:00:00	A+	693-51-4509	Psychologist, educational	William Harris	"4566 Kevin Ferry
South Nathaniel, MT 25965"
170	White	(Decimal('-37.814102'), Decimal('39.174276'))	M	09/22/1945, 00:00:00	O+	672-96-4371	Psychologist, forensic	Kevin Mitchell	"02864 Smith Prairie
South Tamarashire, DC 54988"
171	Black	(Decimal('-51.3014685'), Decimal('69.743054'))	F	1947-03-04	O+	251-41-9389	Glass blower/designer	Melissa Chavez	"7007 Byrd Forges Suite 974
South Sherri, DE 51148"
172	White	(Decimal('-24.2419205'), Decimal('-148.317830'))	F	09/10/1976, 00:00:00	AB+	687-57-6766	Merchandiser, retail	Wendy Brown	"5694 Allison Crossing
East Seanstad, NC 27063"
173	White	(Decimal('-33.733353'), Decimal('33.423967'))	M	06/27/1940, 00:00:00	B+	792-98-6830	Accommodation manager	Benjamin Zimmerman	"465 Victoria Mills
Deleonberg, MI 35906"
174	Black	(Decimal('-39.9008985'), Decimal('-13.611891'))	F	03/29/1913, 00:00:00	B+	156-72-7195	Civil Service administrator	Lori Valdez	"00079 Robert Mount Suite 354
East Joshuamouth, NH 93323"
175	Black	(Decimal('-6.802590'), Decimal('-63.666412'))	F	1986-07-13	O+	765-55-8580	Fitness centre manager	Kayla Lopez	"USCGC Ramsey
FPO AP 84729"
176	Black	(Decimal('14.1941955'), Decimal('-171.345745'))	F	1915-11-28	B-	079-37-8207	Child psychotherapist	Mikayla Miller	"97396 Kelly Wall
Myersview, IL 27992"
177	White	(Decimal('-73.7001595'), Decimal('60.918315'))	M	1998/12/07	O-	846-95-0052	Contracting civil engineer	William Davis	"5924 Deborah Coves Suite 225
New Jacob, KS 34557"
178	Black	(Decimal('84.767342'), Decimal('71.264225'))	M	05 Nov 1973	A+	284-34-7509	Museum education officer	Darius Greer	"46311 Estes Drive
New Paul, IA 95856"
179	White	(Decimal('-81.7026575'), Decimal('49.263574'))	F	10/08/1916, 00:00:00	A-	607-31-2305	Journalist, newspaper	Theresa Carey	"771 Alexander Garden Apt. 665
Jeffreyberg, NV 69076"
180	Black	(Decimal('22.3073235'), Decimal('5.692155'))	F	03/17/1915, 00:00:00	O+	061-13-9984	English as a second language teacher	Jennifer Herrera	"30521 Christina Estates Suite 078
New Laura, MN 86393"
181	White	(Decimal('64.065643'), Decimal('62.955659'))	F	06/13/2004, 00:00:00	B-	644-89-3647	Scientist, research (physical sciences)	Maria Williams	"600 Best Inlet Suite 295
North Kelly, AR 84323"
182	White	(Decimal('3.1424505'), Decimal('-120.467102'))	M	04/24/1949, 00:00:00	AB-	157-12-8045	Recycling officer	Samuel Johnson	"312 William Rapid Apt. 785
Dennisbury, NC 65288"
183	White	(Decimal('-33.108714'), Decimal('-11.530769'))	M	03 Dec 2013	O+	414-71-7234	Environmental health practitioner	Matthew Rodriguez MD	"3663 Ward Well
Shawberg, ND 64257"
184	Asian	(Decimal('-87.5601475'), Decimal('-98.759932'))	F	26 Jan 1954	AB+	624-82-9885	Designer, interior/spatial	Stephanie Burgess	"PSC 9134, Box 7672
APO AP 47495"
185	White	(Decimal('24.9905805'), Decimal('46.390834'))	M	1988-05-22	A+	816-84-4250	Therapeutic radiographer	Paul Wilson	"36433 Pitts Light
New Melissa, AL 84366"
186	White	(Decimal('4.8394065'), Decimal('44.767370'))	M	1975-07-09	O-	573-84-3197	Freight forwarder	Kyle Murray	"624 Jonathan Valley
Watsonton, FL 34357"
187	Asian	(Decimal('-16.136471'), Decimal('-153.157291'))	M	16 Aug 1990	A+	196-62-9564	Housing manager/officer	Aaron Henry	"4594 Reyes Mountain
Johnview, PA 52864"
188	White	(Decimal('5.371691'), Decimal('-52.668495'))	M	1979/08/28	B-	849-26-4487	Video editor	Thomas Maddox	"6950 Johnson Ways Suite 283
Brendaport, SC 30200"
189	Indian	(Decimal('29.1086975'), Decimal('-97.069232'))	M	1942/07/25	B-	125-75-7162	Midwife	Joseph Calhoun	"USNV Davila
FPO AA 02263"
190	Asian	(Decimal('85.2836965'), Decimal('-11.188569'))	M	07/05/2021, 00:00:00	O-	325-89-4255	Tax adviser	Patrick Williams	"0041 Amy Crest Suite 645
Jackmouth, PA 06797"
191	Black	(Decimal('53.703921'), Decimal('29.970734'))	F	1912/04/30	O-	384-44-9245	Scientist, research (medical)	Shawna Mays	"10095 Carlos Crest Apt. 233
Bethtown, NE 82319"
192	White	(Decimal('-66.097985'), Decimal('126.389237'))	F	10/08/1913, 00:00:00	O-	678-53-1854	Games developer	Jacqueline Richards	"6001 Robert Expressway
Brittanychester, NY 70355"
193	White	(Decimal('-11.7445215'), Decimal('9.669802'))	F	1905/12/01	A-	278-56-3138	Therapist, music	Beverly Gillespie	"USS Williams
FPO AE 95194"
194	White	(Decimal('80.1623735'), Decimal('55.274476'))	M	2012-06-07	AB+	045-46-9552	Nurse, children's	Dustin Curtis	"2951 Lopez Mount Apt. 830
West Tonyachester, MD 66802"
195	Black	(Decimal('40.3947715'), Decimal('72.531871'))	M	1993/07/31	AB+	554-19-9310	Transport planner	Travis Martinez	"3592 Hernandez Parkway
South Bryan, OR 84125"
196	Black	(Decimal('31.3037955'), Decimal('-39.538017'))	F	21 Dec 2010	A-	383-48-3250	Logistics and distribution manager	Melinda Tanner	"824 Janet Locks
Port Christiefurt, NE 32516"
197	black	(Decimal('-55.4636845'), Decimal('68.437315'))	F	12 Jan 2013	B-	408-63-3602	Development worker, international aid	Kimberly Cortez	"3307 David Burg
Kevinton, TN 98195"
198	Indian	(Decimal('25.570751'), Decimal('91.334798'))	M	1912-04-09	B+	349-97-4667	Facilities manager	Timothy Robertson	"783 Villarreal Well Suite 461
North Stevenfort, TX 03011"
199	white	(Decimal('47.495686'), Decimal('-13.185471'))	M	05/27/1967, 00:00:00	AB-	213-70-9495	Probation officer	Troy Thomas	"USNS Miller
FPO AP 78016"
200	Indian	(Decimal('-0.551559'), Decimal('-67.152211'))	M	1941/08/11	B-	615-60-1226	Tax inspector	Roy Herrera	"2299 Gregory Corners
New Michaelland, NC 59986"
201	Black	(Decimal('-55.2909545'), Decimal('-119.008493'))	M	01 Mar 1965	O-	779-51-4162	Engineer, biomedical	Luke Smith	"5680 Jorge Underpass
Allenfort, NY 35025"
202	Black	(Decimal('-18.5327155'), Decimal('139.446510'))	F	04 Mar 1926	B-	895-37-6300	Interpreter	Dorothy Johnson	"10482 Gary Prairie
West Justin, IL 26345"
203	Black	(Decimal('23.938296'), Decimal('-109.313416'))	M	1914-10-09	AB-	374-03-2575	Product designer	Andrew Saunders	"3767 Laurie Crest Suite 387
North Paul, DE 67013"
204	Asian	(Decimal('-51.318629'), Decimal('-45.065042'))	M	1981/04/19	A+	483-01-3800	Haematologist	Peter Fox	"418 Petersen Trail Suite 912
Claytonport, ID 18146"
205	Black	(Decimal('87.202419'), Decimal('153.345336'))	F	1910-11-27	B-	100-59-8597	Sports administrator	Marie Howard	"1126 Emily Estate
Seanmouth, SD 55278"
206	Indian	(Decimal('-33.2564495'), Decimal('-121.414712'))	F	2016-08-26	AB+	227-71-1836	Metallurgist	Melissa Thompson	"1092 Wendy Estate Apt. 537
Brookehaven, CT 48148"
207	White	(Decimal('84.1565615'), Decimal('11.199335'))	F	01/16/1915, 00:00:00	B+	639-89-9013	Engineer, aeronautical	Megan Walker	"3434 Bowen Meadow Apt. 786
Diazmouth, MI 71228"
208	White	(Decimal('40.2366735'), Decimal('-81.582225'))	F	2004-07-09	AB+	367-72-4775	Investment banker, operational	Michele Vega	"1773 Cunningham Spur Suite 595
East Andrewfurt, NJ 46771"
209	Hawaiian	(Decimal('30.431360'), Decimal('6.256416'))	M	1915-02-15	A+	164-32-9978	TEFL teacher	Donald Miller	"14210 Morales Center
Loganville, DE 69210"
210	Black	(Decimal('-59.738798'), Decimal('-128.978248'))	F	11/13/1974, 00:00:00	O-	329-75-2699	Estate manager/land agent	Norma Conner	"1416 Jennifer Parkway
Port Melissamouth, SD 03360"
211	Indian	(Decimal('32.9440325'), Decimal('6.932189'))	M	23 Jan 1921	A+	889-30-2747	Trading standards officer	Austin Black	"32940 Johnson Stream
Johnsonfurt, LA 32844"
212	White	(Decimal('-42.1914385'), Decimal('-42.731247'))	M	1984/05/25	A+	682-88-9145	Purchasing manager	Daniel Stewart	"42774 Jennifer Lake Apt. 471
Desireeburgh, ME 14234"
213	White	(Decimal('2.9032265'), Decimal('32.715693'))	F	01/12/1921, 00:00:00	A-	169-75-3627	Sales executive	Heidi Carter	"1627 Mark Ranch Apt. 246
East Scott, CO 51274"
214	Indian	(Decimal('-88.1683455'), Decimal('-141.205327'))	M	2018-02-15	O+	570-71-8403	Applications developer	Ronald Cordova	"68014 Adam Drive
Charlesfurt, MT 35499"
215	Asian	(Decimal('-33.344611'), Decimal('39.076129'))	F	2019/03/07	O-	265-10-1721	Astronomer	Brittany Lopez	"85407 Tiffany Road Suite 706
Michaelville, UT 45139"
216	White	(Decimal('86.0818825'), Decimal('-168.897073'))	F	1980-04-05	A-	027-99-7846	Estate manager/land agent	Theresa Holland	"8075 Anne Squares Suite 176
Lake Teresa, NV 07107"
217	White	(Decimal('51.0589845'), Decimal('-99.501067'))	M	1907/10/12	O+	745-43-3948	Press photographer	Brian Sims	"Unit 2207 Box 5209
DPO AP 42044"
218	White	(Decimal('-27.752082'), Decimal('-124.362092'))	M	23 Jan 1913	B-	886-21-4683	Database administrator	Joseph Boone	"42244 Troy Junction
New Angelaland, VA 01703"
219	black	(Decimal('67.618749'), Decimal('143.604644'))	M	16 Apr 1922	AB-	150-91-4299	Medical sales representative	Richard Pitts Jr.	"8837 Emily Islands Suite 347
Mcgeeview, OR 15760"
220	White	(Decimal('-6.791817'), Decimal('-139.757119'))	M	1921-11-26	B-	386-74-7686	Insurance broker	Brandon Jordan	"071 Erin Ports Suite 097
Craigside, MO 06728"
221	Indian	(Decimal('-37.9762535'), Decimal('147.478858'))	F	17 Apr 2015	B-	487-17-0389	Homeopath	Sandra Jones	"0118 Bradley Extension Suite 086
North Donna, CO 26802"
222	Black	(Decimal('70.5286235'), Decimal('19.795366'))	M	1969-04-27	A+	757-46-1178	Rural practice surveyor	Mark Sullivan	"21131 Mary Park
Webbbury, ID 94206"
223	Black	(Decimal('-63.1276015'), Decimal('119.726745'))	F	08 Jul 1907	B+	216-57-5282	Housing manager/officer	Elizabeth Ross	"605 Johnson Burgs
North Paul, MO 72140"
224	Black	(Decimal('-18.072773'), Decimal('166.784746'))	F	1925-05-02	AB-	085-39-9017	Nurse, adult	Erica Case	"114 Kimberly Circles
Lake Bruce, MI 70675"
225	White	(Decimal('-86.6303095'), Decimal('-52.596872'))	F	2014/01/18	AB-	111-11-6713	Trade mark attorney	Alyssa Martinez	"041 Brown Place Suite 377
Bartonburgh, NY 07368"
226	White	(Decimal('16.7472015'), Decimal('-1.396916'))	M	1920/07/08	B-	615-76-7989	Therapist, speech and language	Jacob Mason	"71709 Holden Plain Suite 537
Crystalhaven, ID 82612"
227	Black	(Decimal('87.2896815'), Decimal('114.360176'))	F	06 Aug 1979	O-	262-63-3085	Chiropractor	Kayla Smith	"60502 Kaiser Skyway
Valeriechester, TX 43190"
228	Indian	(Decimal('34.097541'), Decimal('-124.891808'))	M	04/29/1969, 00:00:00	A+	106-43-5677	Art gallery manager	Christopher Mckay	"4979 Meyer Field Suite 665
West Christopher, DE 43781"
229	White	(Decimal('-24.758474'), Decimal('-2.197826'))	M	1960-01-18	A+	097-10-2726	Surveyor, building	Joseph Raymond	"4469 Wolf Burg
South Michaelchester, OH 63590"
230	Black	(Decimal('-55.102607'), Decimal('-30.602862'))	F	1950-11-24	AB-	381-38-6261	Cabin crew	Sarah Harris	"9881 Robert Lane
Tylerburgh, ND 09053"
231	White	(Decimal('-87.6067045'), Decimal('170.691567'))	M	06/01/1941, 00:00:00	AB-	080-91-2836	Firefighter	Jeff Simmons	"60467 Clark Knoll
Watsonstad, NM 18429"
232	White	(Decimal('83.3870135'), Decimal('119.327305'))	M	10/20/1993, 00:00:00	A-	345-06-6547	Adult guidance worker	Mr. Shawn Nelson	"45359 Pittman Lights
Joelmouth, MT 62857"
233	White	(Decimal('-17.0139415'), Decimal('57.459151'))	F	06/01/1931, 00:00:00	AB+	857-35-6248	Education officer, environmental	Brandi Thornton	"6519 Carpenter Well
Reedmouth, IA 68072"
234	White	(Decimal('-57.7564075'), Decimal('57.328513'))	F	26 Mar 2003	AB+	048-71-4791	Armed forces technical officer	Stephanie Tran	"60086 Lauren Highway Suite 923
Lisabury, CT 89179"
235	White	(Decimal('-53.7285755'), Decimal('45.033210'))	F	1947-05-18	B+	218-14-9259	Designer, ceramics/pottery	Brandi Levy	"676 Gross Courts
South Sarahbury, MN 85477"
236	Black	(Decimal('-25.7646475'), Decimal('-119.402538'))	F	1924/10/06	AB-	413-50-8907	Glass blower/designer	Amber West	"27940 Snyder Estate Suite 901
Scottville, MO 97179"
237	White	(Decimal('-72.9478985'), Decimal('135.052093'))	M	1939/03/30	O+	598-85-7899	Food technologist	Zachary Phillips	"629 Ruth Cliff Apt. 345
Lake Christinaborough, WY 42161"
238	Asian	(Decimal('3.9016825'), Decimal('-115.936740'))	F	1930-04-05	O-	339-58-9560	Chief Technology Officer	Robin Morgan	"36771 Robert Parkway
New Jason, TX 13761"
239	black	(Decimal('35.0922335'), Decimal('9.672172'))	M	30 Dec 1993	A-	639-77-0055	Environmental manager	Tony Morgan	"PSC 5224, Box 7609
APO AA 74207"
240	Black	(Decimal('16.5554605'), Decimal('-179.770488'))	M	31 Jul 1996	B-	055-92-7201	Engineer, control and instrumentation	Carlos Patton	"3300 Mary Ways Suite 633
East Danielbury, ID 45039"
241	Asian	(Decimal('45.475796'), Decimal('-39.782613'))	F	1920-12-08	A+	353-22-6015	Retail merchandiser	Kylie Stevens	"442 Best Square
Richardsonbury, WV 99323"
242	black	(Decimal('47.668118'), Decimal('2.020380'))	M	12/27/1919, 00:00:00	AB+	231-19-7008	Pharmacist, hospital	Seth Vazquez	"38966 Acosta Spring
North Tracy, MI 04943"
243	White	(Decimal('31.8043025'), Decimal('-154.416882'))	M	12/29/1959, 00:00:00	B+	686-78-6522	Financial planner	James Bowers	"62324 Thompson Village Suite 390
Griffinport, NM 81149"
244	Black	(Decimal('79.423167'), Decimal('-106.966728'))	F	2019-08-04	B+	460-99-1353	Film/video editor	Dorothy Baker	"850 Brian Cliffs Apt. 572
Millerchester, OH 75078"
245	White	(Decimal('-57.177496'), Decimal('44.610921'))	M	17 Apr 1954	O+	485-98-7937	Early years teacher	Joshua Hall	"912 Justin Falls
Jonville, KY 78318"
246	Asian	(Decimal('-79.1965715'), Decimal('-173.483150'))	M	1940-02-26	B-	528-19-8964	Programme researcher, broadcasting/film/video	Jason Rowland MD	"0342 Oconnor Shoals
North Timfurt, OH 96244"
247	White	(Decimal('-85.430700'), Decimal('-157.499267'))	M	1916-06-18	O+	423-45-5905	Chief Executive Officer	Willie Garcia	"PSC 6425, Box 2493
APO AA 71809"
248	White	(Decimal('-24.2901525'), Decimal('-30.544979'))	F	1916/03/08	A-	598-39-0467	Environmental manager	Sharon Weber	"2943 David Cliffs
North Jamesmouth, GA 50622"
249	Black	(Decimal('79.9168275'), Decimal('-9.788580'))	F	29 Apr 2021	O-	224-89-2472	Civil Service administrator	Sharon Conway	"50040 Jones Park Suite 918
Hermanstad, WA 64007"
250	White	(Decimal('52.151454'), Decimal('94.306452'))	F	24 Apr 1981	B+	173-79-4713	Financial trader	Amy Mueller	"1535 Morales Cliff
Taylorchester, WI 15312"
251	Hawaiian	(Decimal('63.6947205'), Decimal('-121.157968'))	M	15 May 1968	O-	676-77-4281	Consulting civil engineer	Antonio Morrison	"3836 Carlos Skyway
New Mercedesborough, WY 43392"
252	Black	(Decimal('-73.993984'), Decimal('-64.899458'))	F	2000-11-05	AB+	828-31-6224	Police officer	Michelle Caldwell	"94789 Cole Locks
West Jennifer, KY 17822"
253	White	(Decimal('13.6291115'), Decimal('-106.045368'))	F	2015-04-17	A+	440-36-6858	Nurse, adult	Kimberly Johnston	"52878 Melanie Centers
West Nicholas, OR 71551"
254	Indian	(Decimal('72.629696'), Decimal('-11.559779'))	M	1931/02/03	O+	828-03-0819	Field trials officer	Dennis Hudson	"325 Woodard Via
Sparksside, GA 20968"
255	Hawaiian	(Decimal('11.5935055'), Decimal('-118.271566'))	F	08/12/1995, 00:00:00	O-	263-86-3000	Curator	Angela Norris	"USNV Barry
FPO AE 89995"
256	Asian	(Decimal('23.618398'), Decimal('57.063254'))	M	1911-10-08	AB-	332-52-4803	Medical illustrator	John Johnson	"68895 Thomas Freeway Apt. 421
Philipbury, MS 56718"
257	black	(Decimal('-14.866500'), Decimal('-120.535393'))	M	06 Sep 1915	A+	842-94-3838	Facilities manager	Terry Pace	"363 Dillon Freeway
Port Michelle, AZ 73583"
258	White	(Decimal('-8.9282155'), Decimal('128.923470'))	F	1992/04/11	A-	585-85-8049	Psychiatric nurse	Donna Allen	"PSC 7656, Box 2911
APO AP 38173"
259	Asian	(Decimal('-41.7474025'), Decimal('-106.832940'))	F	02/22/1907, 00:00:00	O+	893-24-4602	Airline pilot	Patricia Thomas	"588 Jennifer Gateway
South Ellen, VA 28264"
260	Black	(Decimal('-19.970754'), Decimal('-158.525551'))	F	1949-01-02	A+	239-16-4232	Horticultural consultant	Jessica Murphy	"PSC 6426, Box 0198
APO AE 88638"
261	Black	(Decimal('13.608348'), Decimal('110.028881'))	M	1936-07-22	B-	369-82-8684	Therapist, drama	Peter Anderson	"03946 Johnson Alley Suite 177
Lake Frederick, ME 93505"
262	White	(Decimal('-74.608824'), Decimal('71.679885'))	M	24 Aug 1934	O+	881-47-2223	Senior tax professional/tax inspector	Alexander Hamilton	"9526 Jackson Road
Lake Williammouth, NJ 72380"
263	White	(Decimal('-74.601329'), Decimal('-96.899375'))	F	29 May 1912	O+	299-14-8454	Scientist, research (medical)	Meghan Smith	"10334 Michael Burgs Suite 623
Ferrellview, WA 05837"
264	White	(Decimal('-87.269651'), Decimal('41.161421'))	F	17 May 1980	B-	757-85-3193	Engineer, civil (contracting)	Crystal Ortiz	"260 Mejia Locks
Kellymouth, ND 50278"
